106.46	-1.93405	-0.710786 34.1415	1.94056	-1.52943 123.478
46.443	2.69394	-0.0186483 27.6079	-0.869218	-2.23626 119.402
65.0211	-0.458037	2.1066 64.3297	2.97463	1.49286 134.182
63.2184	1.38785	0.373573 53.5094	-1.90479	1.28041 128.187
121.052	-1.22213	1.51691 45.0849	-1.04102	-0.102543 133.816
73.2419	2.78682	-0.851997 54.858	-0.5288	-0.546447 127.782
69.4968	1.33282	0.841877 43.2583	-1.29266	2.00022 125.489
80.425	2.13948	-0.840982 61.0762	-2.80569	0.384748 126.132
98.1077	0.612893	1.02313 21.7925	-2.97861	-0.134172 106.415
42.2443	2.2563	2.60098 37.1114	-0.94684	0.606055 121.935
92.6988	-2.62929	-0.901843 25.0566	-0.808065	0.847068 122.095
56.1903	-1.09265	-1.46567 37.9717	2.3217	-0.193156 111.013
46.4357	-2.37862	-1.84708 44.5296	0.372085	-0.126332 125.498
74.5617	2.59969	-1.28833 43.7057	-0.693244	-2.13156 124.17
73.0825	-0.875277	1.6181 56.7145	2.88681	2.00436 125.141
70.2786	-0.69736	-0.408172 58.9241	2.08	-0.181851 127.413
67.1751	2.92285	-0.487273 56.3052	-0.172651	-0.832691 124.808
102.773	1.4321	0.545133 21.6321	-1.94819	2.12283 124.692
83.7207	-0.872865	-2.24236 59.8807	3.06215	-1.93411 132.436
69.0393	-1.78631	1.36814 49.6806	1.0033	1.06119 116.725
55.9078	-0.701354	1.25236 50.8251	2.28369	0.164337 122.497
106.956	-2.83649	-1.35999 28.2361	0.161097	-2.45947 126.693
59.5179	-1.98032	1.68061 57.1644	0.956674	2.47951 125.526
43.8703	1.71513	1.78964 24.7039	-0.446895	-0.818357 126.479
88.6732	-1.52434	1.27633 42.9615	0.623674	2.3453 128.688
40.5694	3.03063	-0.831656 36.4207	-0.180345	1.32508 126.053
103.04	-2.65826	-0.237006 38.2381	-0.0448139	0.195307 124.236
56.7479	1.29947	-2.03146 51.5667	-2.13181	-1.82486 107.641
96.0799	2.11965	-0.356144 43.3914	-0.483765	-0.482498 124.757
45.6924	0.0550937	-2.33432 37.6506	-2.34623	-0.484984 117.238
61.5738	1.58294	-1.58917 51.6573	-1.60232	-2.47642 124.054
86.2576	-0.789227	-0.526922 40.3007	2.89477	0.408085 127.178
59.1975	2.79592	-0.861877 52.2615	-1.10252	0.109886 117.663
62.4448	3.14116	1.0243 31.3261	0.508814	-0.758743 124.015
347.943	-1.71605	0.847365 46.2268	-2.11407	1.73708 126.921
62.3248	-1.57299	-1.9965 60.9649	1.97849	-1.57188 123.549
64.1331	2.55053	1.07439 31.3118	-0.957276	-0.645046 123.765
46.6827	0.892129	-0.487104 30.2687	3.10287	1.75608 123.097
74.1249	0.800594	-0.889859 51.8433	-2.61745	-0.382486 126.848
63.5662	-2.58206	0.447171 62.819	0.647731	0.828855 128.571
61.4613	0.237022	1.16677 50.2022	-3.07633	0.547657 116.069
86.2922	0.0310103	0.0680463 47.945	-2.19568	0.659644 121.703
153.587	0.762116	0.929261 24.1498	-2.90681	0.332029 123.253
84.4678	2.78952	-0.663165 43.0342	-0.641439	-0.0948056 124.274
70.0619	-0.819976	0.102228 30.1104	2.2012	1.80505 127.096
87.4974	0.972249	-0.103074 53.7998	-1.34701	0.0488752 126.216
62.9073	1.77977	0.0409635 32.9572	-1.22196	0.758404 96.7791
63.9465	-0.35419	1.09126 60.9568	2.69418	0.913943 125.224
75.1631	-1.32391	-0.900098 31.5764	1.83783	0.45365 120.616
62.8214	0.328489	-2.49558 61.1864	-2.99691	-2.13665 125.484
42.0133	-1.52083	-0.442125 24.5155	1.10192	2.1705 126.127
75.6368	3.07052	1.33833 26.3972	0.746735	-0.37653 119.092
63.2415	0.625424	1.35172 56.6835	-2.55718	1.81329 122.924
113.37	-2.03	0.969097 29.3048	1.63193	2.03912 128.805
65.9658	0.249889	-0.908283 57.6504	3.13614	-0.670488 123.212
